"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"S1";"RKJXV122400R";1;"RKJXV122400R";;;
2;"S3,S2";"SW_Kailh_Choc_V2";2;"PG1353";;;
3;"JP1";"Jumper_2P";1;"Charge current";;;
4;"LED1,LED2";"LED0805-RD_RED";2;"Led";;;
5;"P1";"4X1_PROGRAM_PIN";1;"SWDPins";;;
6;"S4";"9_3.5_3.5_Toggle_Switch";1;"9*3.5*3.5_toggle_switch";;;
7;"JP2";"Jumper_2P";1;"Working current";;;
8;"Ref**";"gaming_101";1;"Val**";;;
9;"Y1";"5032_2P";1;"5032/2P";;;
10;"R1,R2,R6,R11,R7,R12,R10";"R0603";7;"10k";;;
11;"U1";"QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm";1;"STM32F103CBUx";;;
12;"C3,C9";"C0603";2;"20pF";;;
13;"J2";"TYPE-C-SMD_TYPE-C-31-M-16";1;"TYPE-C-31-M-17";;;
14;"J1";"FPC 0.5mm 10P";1;"FPC 0.5mm 10P";;;
15;"IC1";"SOT95P280X100-5N";1;"ADP160AUJZ-3.3-R7";;;
16;"R8,R9,R3,R5";"R0603";4;"1k";;;
17;"C5";"C0603";1;"10uF";;;
18;"R4";"R0603";1;"1.1k";;;
19;"FB1,FB2";"L0805";2;"FB0805";;;
20;"C4,C6,C8,C2";"C0603";4;"1uF";;;
21;"IC2";"SOT95P290X124-6N";1;"DW07D";;;
22;"C7,C1";"C0603";2;"0.1uF";;;
23;"IC3";"ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP";1;"TP4056X";;;
24;"B1";"2P bat";1;"Li-ion_600maH_1A";;;
25;"JP3";"Jumper_2P";1;"Short Bat Protection";;;
